212,-313,359,38,-910,207,2,-23,89,-9,-3,-71,65,38,94,9,3431,1857,3460
192,-357,381,-11,-881,165,0,-21,85,-8,-4,-69,57,33,93,9,3431,1857,3460
177,-407,389,-65,-841,127,-4,-17,80,-8,-3,-65,45,25,95,9,3431,1857,3460
118,-458,399,-147,-756,52,-15,-7,82,-12,-8,-66,10,2,100,9,3431,1857,3460
77,-454,425,-174,-717,17,-19,1,81,-12,-5,-66,-7,-4,100,9,3431,1857,3460
39,-455,457,-190,-680,-18,-22,12,78,-12,-5,-66,-18,-12,96,9,3431,1857,3460
39,-455,457,-208,-649,-53,-23,22,77,-15,-9,-74,-25,-15,86,9,3431,1857,3460
171,-460,-799,-256,-618,-124,-20,30,75,-5,-7,-73,-29,-12,61,9,3431,1857,3460
168,-481,-866,-291,-609,-167,-15,23,77,0,-7,-72,-26,-13,47,9,3431,1857,3460
173,-488,-926,-328,-599,-213,-5,13,78,6,-6,-72,-24,-16,40,9,3431,1857,3460
185,-479,-975,-365,-582,-260,3,0,81,11,-6,-73,-21,-19,38,9,3431,1857,3460
206,-450,-1005,-399,-555,-307,13,-11,83,15,-7,-76,-17,-23,39,9,3431,1857,3460
242,-361,-978,-450,-484,-386,29,-30,81,12,-4,-77,-13,-32,48,9,3431,1857,3460
244,-319,-926,-469,-446,-420,32,-34,80,9,0,-74,-14,-27,57,9,3431,1857,3460
235,-291,-869,-485,-410,-458,31,-35,82,3,5,-72,-17,-22,67,9,3431,1857,3460
225,-257,-830,-490,-383,-489,28,-32,82,0,8,-73,-14,893,-2279,9,3431,1857,3460
220,-229,-812,-3899,-672,3110,28,-32,82,-3,10,-74,-14,893,-2279,9,3431,1857,3460
251,-125,-744,606,447,127,27,24,83,-8,11,-73,-47,-14,49,9,3431,1857,3460
286,-16,-655,680,397,134,28,25,80,-10,11,-72,-44,-8,41,9,3431,1857,3460
311,109,-518,756,363,138,26,27,76,-11,9,-69,-34,-6,39,9,3431,1857,3460
329,239,-347,827,342,138,22,27,76,-12,5,-67,-20,-5,39,9,3431,1857,3460
261,461,-20,908,323,107,10,23,81,-14,-3,-65,6,4,54,9,3431,1857,3460
197,517,98,924,318,64,2,16,84,-11,-7,-64,18,11,65,9,3431,1857,3460
128,535,193,942,315,10,-3,6,87,-6,-8,-64,26,20,72,9,3431,1857,3460
63,519,269,958,308,-44,-4,0,89,0,-7,-66,35,30,80,9,3431,1857,3460
-1,475,322,965,291,-89,-3,-5,90,8,-7,-67,43,37,85,9,3431,1857,3460
-71,445,377,963,255,-142,-2,-10,88,16,-7,-66,59,46,92,9,3431,1857,3460
-267,512,-387,944,228,-145,-1,-11,88,-6,11,-75,63,48,94,9,3431,1857,3460
-218,509,-398,930,204,-148,0,-9,88,-7,10,-74,65,48,95,9,3431,1857,3460
-173,506,-387,911,203,-167,1,-7,87,-6,8,-72,62,53,85,9,3431,1857,3460
-126,487,-355,882,219,-202,0,-4,85,-4,7,-72,61,54,65,9,3431,1857,3460
-71,469,-316,848,262,-254,-1,0,82,-1,8,-73,63,42,61,9,3431,1857,3460
68,399,-206,741,320,-317,-6,3,80,2,3,-76,62,13,54,9,3431,1857,3460
127,340,-149,694,348,-335,-6,3,81,3,3,-75,55,2,49,9,3431,1857,3460
146,279,-77,636,395,-357,-5,1,82,3,4,-72,46,-4,46,9,3431,1857,3460
149,223,-2,561,462,-380,-2,-3,82,4,7,-69,36,-10,44,9,3431,1857,3460
