9,26,-21,8,36,56,10,-13,88,5,0,-60,26,-16,60,5
11,31,-19,-50,20,77,-27,-35,87,-65,-18,-43,-8,-22,47,5
11,36,-19,-51,20,79,-21,-28,84,-77,-22,-42,-8,-22,45,5
4,29,-10,-49,18,79,-20,-15,81,-93,-36,-39,-7,-20,43,5
-6,52,-2,-46,11,77,-20,-3,82,-100,-43,-41,-5,-19,43,5
-19,73,4,82,143,11,-58,-75,72,27,41,-129,-104,-25,17,5
-32,90,7,79,149,9,-61,-81,71,-169,4,-165,-105,-28,14,5
-39,-3,84,74,155,7,-71,-89,71,-180,63,-100,-104,-33,12,5
-32,-48,74,70,160,6,-84,-96,70,-162,71,17,-103,-35,8,5
-18,-93,57,248,125,113,303,162,161,-137,7,155,128,67,72,5
1,-129,34,237,119,110,325,97,108,-10,94,-63,118,74,62,5
80,-7,-152,220,112,96,356,64,70,-11,122,-63,110,77,57,5
73,5,-146,200,101,80,404,66,56,-10,144,-62,102,79,55,5
66,25,-144,112,-92,117,-94,-187,-9,-12,153,-60,137,122,57,5
54,42,-145,109,-103,116,-85,-225,-87,74,160,-35,135,126,54,5
-112,72,-12,112,-116,118,-21,-237,-161,64,123,-14,137,128,54,5
-144,56,-27,122,-131,122,93,-232,-215,40,61,0,143,127,53,5
-182,40,-41,-174,106,-4,-78,-147,72,5,0,-1,-88,-218,-68,5
-220,23,-52,-170,110,-3,-63,-142,66,-445,176,391,-85,-224,-67,5
100,0,-193,-165,118,-4,-66,-122,55,-516,134,208,-81,-232,-70,5
125,49,-193,-164,123,-7,-86,-111,57,-531,98,-54,-70,-239,-70,5
136,99,-166,-31,50,-23,435,41,-230,-510,33,-191,-3,133,-69,5
133,143,-113,-34,36,-67,380,36,-215,-123,104,-63,6,141,-85,5
57,103,-68,-23,24,-102,329,56,-210,-119,75,-67,19,141,-92,5
42,97,-52,-3,17,-125,285,91,-197,-120,32,-84,15,143,-87,5
27,86,-30,-127,71,103,315,84,-5,-131,-13,-85,-28,42,-15,5
1,66,-2,-114,91,81,374,51,-36,-87,-49,-96,-22,62,-25,5
26,102,-145,-99,107,52,406,12,-83,-74,-38,-93,-17,79,-28,5
26,131,-143,87,-89,83,-154,236,17,-63,-29,-93,19,16,32,5
27,154,-139,-15,-15,77,-168,240,24,-49,54,-69,30,33,32,5
-1183,213,3496,-18,0,85,-196,245,14,-20,93,-65,35,49,30,5
37,-280,193,-14,1,100,-208,250,-13,22,138,-60,37,61,27,5
62,-279,179,-1,-6,120,162,111,30,85,164,-38,17,27,41,5
78,-283,168,57,29,38,126,93,45,82,-49,-64,26,27,43,5
88,-281,152,47,20,40,93,83,69,64,-40,-66,29,28,45,5
-2262,-1696,-786,40,10,40,91,178,-98,47,-20,-71,83,41,-9,5
39,2,-100,65,-7,46,107,139,-98,-10,15,-66,75,52,-10,5
36,5,-94,64,-17,63,138,70,-78,-2,10,-69,71,63,-7,5
32,7,-90,63,-30,76,-55,-646,264,15,-8,-81,-65,-94,241,5
27,9,-87,58,-43,83,-22,-590,274,37,-35,-84,-56,-65,221,5
107,27,-98,100,-17,10,7,-488,255,-51,125,-92,-34,-32,202,5
104,43,-119,103,-37,11,43,-360,215,-40,134,-89,-8,-1,184,5
96,59,-139,106,-60,14,157,-34,-38,-31,139,-90,109,60,43,5
86,79,-157,111,-90,16,147,-48,-16,-20,143,-89,111,57,45,5
66,0,-155,23,-60,40,152,-61,9,-20,163,-63,112,55,46,5
66,4,-161,23,-65,35,167,-60,20,-31,157,-68,109,55,45,5
68,6,-166,22,-67,27,-452,-51,5,-51,150,-73,-59,-97,15,5
73,6,-173,19,-65,16,-538,-33,119,-69,145,-72,-58,-113,95,5
24,-37,41,-220,19,30,-590,117,338,-50,-79,-88,-98,-107,198,5
40,-27,13,-151,-36,121,-617,303,539,-47,-78,-84,-160,-97,282,5
43,-13,-3,-144,-33,110,419,-4,354,-44,-66,-75,152,85,-34,5
38,3,-15,-134,-31,102,505,2,309,-36,-58,-68,179,92,1,5
234,95,-20,-126,-24,92,600,1,305,-127,217,-95,201,90,45,5
219,91,-40,71,-90,-99,678,-49,308,-159,267,-99,208,81,95,5
196,89,-63,72,-80,-102,127,154,-310,-182,322,-94,71,76,-60,5
166,93,-84,73,-68,-105,223,20,-9,-218,367,-96,108,33,8,5
0,-318,62,73,-55,-106,-161,-85,380,-26,-302,-15,147,-13,130,5
43,-300,25,-13,-31,85,-375,-100,645,-39,-272,-26,152,-66,273,5
88,-291,-1,10,-36,96,178,-151,170,-58,-242,-35,12,84,-9,5
107,-284,-25,34,-48,95,289,-53,171,-69,-209,-32,1,104,0,5
148,205,-33,58,-65,96,361,63,151,-136,62,-89,-5,119,13,5
151,203,-60,78,36,-50,396,171,116,-171,67,-86,-3,126,29,5
143,192,-87,86,29,-41,-196,47,216,-198,74,-82,-8,35,14,5
127,175,-109,97,19,-30,-307,-74,386,-215,85,-84,7,20,50,5
21,-190,81,107,3,-18,-399,-8,567,87,54,-55,24,1,102,5
23,-196,72,-55,151,39,-490,128,745,74,60,-59,38,-21,162,5
25,-197,54,-50,157,38,244,133,-93,60,48,-58,47,77,10,5
27,-195,33,-43,158,33,227,118,-81,51,18,-49,54,81,13,5
0,24,-185,-36,153,26,204,111,-69,-153,29,-96,64,82,16,5
-5,14,-186,4,-20,69,169,99,-52,-155,44,-100,69,81,19,5
-9,5,-183,-3,-14,85,-98,284,121,-116,61,-92,-2925,-1513,3376,5
-15,0,-177,-14,0,108,-46,292,89,-56,93,-77,6,46,-6,5
12,47,5,-28,12,134,-16,231,65,25,-64,-59,11,37,4,5
11,65,3,18,-21,2,5,205,95,11,-60,-61,12,29,15,5
12,80,0,15,-24,0,183,-65,14,1,-52,-67,15,21,22,5
14,89,-8,13,-26,-3,193,-79,9,-4,-44,-69,65,40,-5,5
15,72,-153,13,-27,-6,204,-105,7,-27,-102,-76,63,41,-10,5
