-287,-930,-472,-43,-160,650,-17,-34,77,9,-4,-65,56,-45,67,9,3489,1881,2042
-282,-842,-621,89,-179,814,-29,-27,75,11,-3,-70,84,-48,64,9,3489,1881,2042
-273,-737,-757,225,-189,963,-44,-22,72,11,-3,-70,107,-51,66,9,3489,1881,2042
-258,-520,-943,510,-198,1212,-69,-13,76,-31,45,-77,132,-64,79,9,3489,1881,2042
-247,-410,-1007,628,-177,1316,-74,-14,85,-36,36,-66,135,-74,86,9,3489,1881,2042
-233,-292,-1064,718,-124,1380,-75,-11,92,-35,25,-81,146,-78,89,9,3489,1881,2042
-216,-167,-1109,783,-48,1398,-76,-12,100,-33,12,-84,153,-84,94,9,3489,1881,2042
-172,76,-1146,825,152,1285,-79,-20,98,-27,7,-86,168,-91,109,9,3489,1881,2042
-157,188,-1137,810,259,1163,-73,-22,92,-22,-5,-72,171,-92,119,9,3489,1881,2042
-134,276,-1106,778,348,1021,-64,-21,89,-22,-11,-65,177,-89,121,9,3489,1881,2058
-111,348,-1066,734,417,872,-54,-18,85,-12,-19,-60,179,-79,117,9,3489,1881,2058
-85,404,-1021,684,472,722,-43,-15,82,-1,-26,-66,173,-67,110,9,3489,1881,2058
-60,438,-973,551,539,446,-16,-4,83,7,-42,-69,142,-46,85,9,3489,1881,2058
425,-181,-83,486,561,301,-1,2,83,7,-44,-70,122,-42,72,9,3489,1881,2058
495,-72,41,411,556,169,12,8,83,8,-40,-82,98,-37,69,9,3489,1881,2058
545,11,146,411,556,169,28,14,81,9,-35,-86,77,-29,64,9,3489,1881,2058
573,55,238,26,-175,-866,44,19,79,11,-26,-85,77,-29,64,9,3489,1881,2058
579,37,442,-41,-187,-841,-423,-2094,-111,21,-14,-68,-16,34,83,9,3489,1881,2058
531,71,593,-46,-168,-876,38,32,85,28,-11,-58,-20,24,102,9,3489,1881,2058
459,147,774,-41,-139,-910,40,28,83,33,-10,-54,-26,18,120,9,3489,1881,2058
376,226,943,-56,-113,-927,42,25,79,35,-8,-51,-29,16,132,9,3489,1881,2058
218,331,1130,-130,-10,-937,47,18,74,34,-1,-63,-17,16,127,9,3489,1881,2058
142,359,1174,-182,76,-912,45,15,79,28,0,-71,-4,17,122,9,3489,1881,2058
65,383,1202,-227,161,-819,38,15,84,26,-2,-73,9,11,124,9,3489,1881,2058
-7,402,1224,-265,212,-683,26,17,84,22,-3,-77,17,12,131,9,3489,1881,2058
-71,408,1239,-299,216,-529,13,19,82,22,-3,-77,20,12,131,9,3489,1881,2058
-143,339,1230,-401,157,-283,-14,22,77,7,26,-64,4,9,118,9,3489,1881,2058
-164,282,1198,-460,136,-205,-26,22,80,12,25,-63,-2,3,109,9,3489,1881,2058
-179,225,1153,-522,103,-127,-36,21,84,14,23,-64,-5,3,105,9,3489,1881,2058
-192,174,1097,-569,49,-24,-48,18,82,12,21,-63,-3,2,99,9,3489,1881,2058
-205,131,1036,-590,-14,109,-55,14,82,9,19,-60,0,4,94,9,3489,1881,2058
-209,9,922,-525,-176,422,-52,15,82,0,19,-60,-3,5,92,9,3489,1881,2058
-205,-64,866,-452,-264,559,-40,18,78,-1,21,-63,-11,7,96,9,3489,1881,2058
-208,-143,823,-367,-337,666,-24,20,78,-3,23,-66,-18,14,102,9,3489,1881,2058
-218,-214,791,-272,-379,735,-9,16,80,-4,14,-62,-27,20,106,9,3489,1881,2058
-218,-214,791,-177,-413,782,0,5,82,-4,7,-58,-37,25,110,9,3489,1881,2058
-86,224,-607,-95,-458,830,14,-24,86,-5,15,-73,-48,28,114,9,3489,1881,2058
-79,207,-576,114,531,-97,18,-32,90,-6,31,-77,40,-49,126,9,3489,1881,2058
